,Year,Team,GP,W,L,year_diff,wins_change
106,1975,PHI,80,51,18,1.0,0.020000000000000018
147,1977,PHI,80,48,16,2.0,-0.05882352941176472
171,1978,PHI,80,45,20,1.0,-0.0625
191,1979,PHI,80,40,25,1.0,-0.11111111111111116
208,1980,PHI,80,48,12,1.0,0.19999999999999996
237,1981,PHI,80,41,24,1.0,-0.14583333333333337
263,1982,PHI,80,38,31,1.0,-0.07317073170731703
281,1983,PHI,80,49,23,1.0,0.2894736842105263
309,1984,PHI,80,44,26,1.0,-0.10204081632653061
328,1985,PHI,80,53,20,1.0,0.20454545454545459
353,1986,PHI,80,53,23,1.0,0.0
377,1987,PHI,80,46,26,1.0,-0.13207547169811318
406,1988,PHI,80,38,33,1.0,-0.17391304347826086
433,1989,PHI,80,36,36,1.0,-0.052631578947368474
465,1990,PHI,80,30,39,1.0,-0.16666666666666663
484,1991,PHI,80,33,37,1.0,0.10000000000000009
510,1992,PHI,80,32,37,1.0,-0.030303030303030276
537,1993,PHI,84,36,37,1.0,0.125
565,1994,PHI,84,35,39,1.0,-0.02777777777777779
581,1995,PHI,48,28,16,1.0,-0.19999999999999996
608,1996,PHI,82,45,24,1.0,0.6071428571428572
638,1997,PHI,82,45,24,1.0,0.0
669,1998,PHI,82,42,29,1.0,-0.06666666666666665
7,1999,PHI,82,37,26,1.0,-0.11904761904761907
34,2000,PHI,82,45,22,1.0,0.21621621621621623
69,2001,PHI,82,43,25,1.0,-0.0444444444444444
102,2002,PHI,82,42,27,1.0,-0.023255813953488413
133,2003,PHI,82,45,20,1.0,0.0714285714285714
169,2004,PHI,82,40,21,1.0,-0.11111111111111116
204,2006,PHI,82,45,26,2.0,0.125
259,2007,PHI,82,22,48,1.0,-0.5111111111111111
272,2008,PHI,82,42,29,1.0,0.9090909090909092
304,2009,PHI,82,44,27,1.0,0.04761904761904767
347,2010,PHI,82,41,35,1.0,-0.06818181818181823
364,2011,PHI,82,47,23,1.0,0.14634146341463405
400,2012,PHI,82,47,26,1.0,0.0
447,2013,PHI,48,23,22,1.0,-0.5106382978723405
473,2014,PHI,82,42,30,1.0,0.826086956521739
517,2015,PHI,82,33,31,1.0,-0.2142857142857143
539,2016,PHI,82,41,27,1.0,0.24242424242424243
578,2017,PHI,82,39,33,1.0,-0.04878048780487809
604,2018,PHI,82,42,26,1.0,0.07692307692307687
645,2019,PHI,57,26,24,1.0,-0.38095238095238093
646,1997,PHX,82,38,37,-22.0,0.46153846153846145
677,1998,PHX,82,35,35,1.0,-0.07894736842105265
11,1999,PHX,82,39,31,1.0,0.11428571428571432
43,2000,PHX,82,39,31,1.0,0.0
78,2001,PHX,82,35,27,1.0,-0.10256410256410253
105,2002,PHX,82,40,27,1.0,0.1428571428571428
147,2003,PHX,82,31,35,1.0,-0.22499999999999998
187,2004,PHX,82,22,36,1.0,-0.29032258064516125
219,2006,PHX,82,38,39,2.0,0.7272727272727273
258,2007,PHX,82,31,46,1.0,-0.1842105263157895
285,2008,PHX,82,38,37,1.0,0.22580645161290325
320,2009,PHX,82,36,39,1.0,-0.052631578947368474
332,2010,PHX,82,50,25,1.0,0.38888888888888884
370,2011,PHX,82,43,26,1.0,-0.14
405,2012,PHX,82,42,27,1.0,-0.023255813953488413
478,2014,PHX,82,37,30,2.0,-0.11904761904761907
13,1969,PIT,76,20,45,-45.0,-0.45945945945945943
24,1970,PIT,76,26,38,1.0,0.30000000000000004
42,1971,PIT,78,21,37,1.0,-0.1923076923076923
58,1972,PIT,78,26,38,1.0,0.23809523809523814
76,1973,PIT,78,32,37,1.0,0.23076923076923084
95,1974,PIT,78,28,41,1.0,-0.125
109,1975,PIT,80,37,28,1.0,0.3214285714285714
132,1976,PIT,80,35,33,1.0,-0.05405405405405406
153,1977,PIT,80,34,33,1.0,-0.02857142857142858
178,1978,PIT,80,25,37,1.0,-0.2647058823529411
195,1979,PIT,80,36,31,1.0,0.43999999999999995
221,1980,PIT,80,30,37,1.0,-0.16666666666666663
246,1981,PIT,80,30,37,1.0,0.0
268,1982,PIT,80,31,36,1.0,0.03333333333333344
300,1983,PIT,80,18,53,1.0,-0.4193548387096774
324,1984,PIT,80,16,58,1.0,-0.11111111111111116
347,1985,PIT,80,24,51,1.0,0.5
366,1986,PIT,80,34,38,1.0,0.41666666666666674
388,1987,PIT,80,30,38,1.0,-0.11764705882352944
411,1988,PIT,80,36,35,1.0,0.19999999999999996
429,1989,PIT,80,40,33,1.0,0.11111111111111116
464,1990,PIT,80,32,40,1.0,-0.19999999999999996
478,1991,PIT,80,41,33,1.0,0.28125
501,1992,PIT,80,39,32,1.0,-0.04878048780487809
521,1993,PIT,84,56,21,1.0,0.4358974358974359
550,1994,PIT,84,44,27,1.0,-0.2142857142857143
580,1995,PIT,48,29,16,1.0,-0.34090909090909094
609,1996,PIT,82,49,29,1.0,0.6896551724137931
644,1997,PIT,82,38,36,1.0,-0.22448979591836737
668,1998,PIT,82,40,24,1.0,0.05263157894736836
12,1999,PIT,82,38,30,1.0,-0.050000000000000044
44,2000,PIT,82,37,31,1.0,-0.02631578947368418
71,2001,PIT,82,42,28,1.0,0.1351351351351351
121,2002,PIT,82,28,41,1.0,-0.33333333333333337
157,2003,PIT,82,27,44,1.0,-0.0357142857142857
191,2004,PIT,82,23,47,1.0,-0.14814814814814814
225,2006,PIT,82,22,46,2.0,-0.04347826086956519
238,2007,PIT,82,47,24,1.0,1.1363636363636362
266,2008,PIT,82,47,27,1.0,0.0
303,2009,PIT,82,45,28,1.0,-0.04255319148936165
337,2010,PIT,82,47,28,1.0,0.04444444444444451
365,2011,PIT,82,49,25,1.0,0.042553191489361764
398,2012,PIT,82,51,25,1.0,0.04081632653061229
429,2013,PIT,48,36,12,1.0,-0.2941176470588235
466,2014,PIT,82,51,24,1.0,0.41666666666666674
508,2015,PIT,82,43,27,1.0,-0.1568627450980392
530,2016,PIT,82,48,26,1.0,0.11627906976744184
561,2017,PIT,82,50,21,1.0,0.04166666666666674
602,2018,PIT,82,47,29,1.0,-0.06000000000000005
637,2019,PIT,57,30,20,1.0,-0.36170212765957444
226,1980,QUE,80,25,44,-39.0,-0.16666666666666663
241,1981,QUE,80,30,32,1.0,0.19999999999999996
264,1982,QUE,80,33,31,1.0,0.10000000000000009
289,1983,QUE,80,34,34,1.0,0.030303030303030276
310,1984,QUE,80,42,28,1.0,0.23529411764705888
334,1985,QUE,80,41,30,1.0,-0.023809523809523836
355,1986,QUE,80,43,31,1.0,0.04878048780487809
390,1987,QUE,80,31,39,1.0,-0.2790697674418605
416,1988,QUE,80,32,43,1.0,0.032258064516129004
444,1989,QUE,80,27,46,1.0,-0.15625
468,1990,QUE,80,12,61,1.0,-0.5555555555555556
492,1991,QUE,80,16,50,1.0,0.33333333333333326
516,1992,QUE,80,20,48,1.0,0.25
566,1994,QUE,84,34,42,2.0,0.7
578,1995,QUE,48,30,13,1.0,-0.11764705882352944
517,1992,SJS,80,17,58,-3.0,-0.43333333333333335
544,1993,SJS,84,11,71,1.0,-0.3529411764705882
564,1994,SJS,84,33,35,1.0,2.0
594,1995,SJS,48,19,25,1.0,-0.4242424242424242
630,1996,SJS,82,20,55,1.0,0.05263157894736836
659,1997,SJS,82,27,47,1.0,0.3500000000000001
679,1998,SJS,82,34,38,1.0,0.2592592592592593
16,1999,SJS,82,31,33,1.0,-0.08823529411764708
73,2001,SJS,82,40,27,2.0,0.29032258064516125
99,2002,SJS,82,44,27,1.0,0.10000000000000009
153,2003,SJS,82,28,37,1.0,-0.36363636363636365
207,2006,SJS,82,44,27,3.0,0.5714285714285714
236,2007,SJS,82,51,26,1.0,0.15909090909090917
264,2008,SJS,82,49,23,1.0,-0.039215686274509776
296,2009,SJS,82,53,18,1.0,0.08163265306122458
330,2010,SJS,82,51,20,1.0,-0.037735849056603765
366,2011,SJS,82,48,25,1.0,-0.05882352941176472
406,2012,SJS,82,43,29,1.0,-0.10416666666666663
438,2013,SJS,48,25,16,1.0,-0.41860465116279066
464,2014,SJS,82,51,22,1.0,1.04
515,2015,SJS,82,40,33,1.0,-0.21568627450980393
537,2016,SJS,82,46,30,1.0,0.1499999999999999
570,2017,SJS,82,46,29,1.0,0.0
628,2019,SJS,57,34,16,2.0,-0.26086956521739135
5,1969,STL,76,37,25,-50.0,0.08823529411764697
22,1970,STL,76,37,27,1.0,0.0
36,1971,STL,78,34,25,1.0,-0.08108108108108103
56,1972,STL,78,28,39,1.0,-0.17647058823529416
74,1973,STL,78,32,34,1.0,0.1428571428571428
96,1974,STL,78,26,40,1.0,-0.1875
113,1975,STL,80,35,31,1.0,0.34615384615384626
136,1976,STL,80,29,37,1.0,-0.17142857142857137
155,1977,STL,80,32,39,1.0,0.10344827586206895
182,1978,STL,80,20,47,1.0,-0.375
203,1979,STL,80,18,50,1.0,-0.09999999999999998
217,1980,STL,80,34,34,1.0,0.8888888888888888
233,1981,STL,80,45,18,1.0,0.32352941176470584
269,1982,STL,80,32,40,1.0,-0.28888888888888886
296,1983,STL,80,25,40,1.0,-0.21875
317,1984,STL,80,32,41,1.0,0.28
336,1985,STL,80,37,31,1.0,0.15625
363,1986,STL,80,37,34,1.0,0.0
385,1987,STL,80,32,33,1.0,-0.1351351351351351
414,1988,STL,80,34,38,1.0,0.0625
436,1989,STL,80,33,35,1.0,-0.02941176470588236
457,1990,STL,80,37,34,1.0,0.1212121212121211
473,1991,STL,80,47,22,1.0,0.2702702702702702
506,1992,STL,80,36,33,1.0,-0.23404255319148937
536,1993,STL,84,37,36,1.0,0.02777777777777768
558,1994,STL,84,40,33,1.0,0.08108108108108114
579,1995,STL,48,28,15,1.0,-0.30000000000000004
619,1996,STL,82,32,34,1.0,0.1428571428571428
645,1997,STL,82,36,35,1.0,0.125
667,1998,STL,82,45,29,1.0,0.25
13,1999,STL,82,37,32,1.0,-0.1777777777777778
32,2000,STL,82,51,19,1.0,0.3783783783783783
68,2001,STL,82,43,22,1.0,-0.1568627450980392
136,2003,STL,82,41,24,2.0,-0.046511627906976716
175,2004,STL,82,39,30,1.0,-0.04878048780487809
226,2006,STL,82,21,46,2.0,-0.46153846153846156
251,2007,STL,82,34,35,1.0,0.6190476190476191
288,2008,STL,82,33,36,1.0,-0.02941176470588236
311,2009,STL,82,41,31,1.0,0.24242424242424243
344,2010,STL,82,40,32,1.0,-0.024390243902439046
381,2011,STL,82,38,33,1.0,-0.050000000000000044
433,2013,STL,48,29,17,2.0,-0.23684210526315785
465,2014,STL,82,52,23,1.0,0.7931034482758621
496,2015,STL,82,51,24,1.0,-0.019230769230769273
529,2016,STL,82,49,24,1.0,-0.039215686274509776
569,2017,STL,82,46,29,1.0,-0.061224489795918324
610,2018,STL,82,44,32,1.0,-0.04347826086956519
643,2019,STL,55,28,22,1.0,-0.36363636363636365
542,1993,TBL,84,23,54,-26.0,-0.1785714285714286
567,1994,TBL,84,30,43,1.0,0.30434782608695654
599,1995,TBL,48,17,28,1.0,-0.43333333333333335
616,1996,TBL,82,38,32,1.0,1.2352941176470589
654,1997,TBL,82,32,40,1.0,-0.1578947368421053
689,1998,TBL,82,17,55,1.0,-0.46875
28,1999,TBL,82,19,54,1.0,0.11764705882352944
58,2000,TBL,82,19,47,1.0,0.0
91,2001,TBL,82,24,47,1.0,0.26315789473684204
140,2003,TBL,82,36,25,2.0,0.5
163,2004,TBL,82,46,22,1.0,0.2777777777777777
213,2006,TBL,82,43,33,2.0,-0.06521739130434778
245,2007,TBL,82,44,33,1.0,0.023255813953488413
292,2008,TBL,82,31,42,1.0,-0.2954545454545454
324,2009,TBL,82,24,40,1.0,-0.22580645161290325
353,2010,TBL,82,34,36,1.0,0.41666666666666674
368,2011,TBL,82,46,25,1.0,0.3529411764705883
415,2012,TBL,82,38,36,1.0,-0.17391304347826086
455,2013,TBL,48,18,26,1.0,-0.5263157894736843
468,2014,TBL,82,46,27,1.0,1.5555555555555554
498,2015,TBL,82,50,24,1.0,0.08695652173913038
538,2016,TBL,82,46,31,1.0,-0.07999999999999996
595,2018,TBL,82,54,23,2.0,0.17391304347826098
627,2019,TBL,57,42,11,1.0,-0.2222222222222222
6,1969,TOR,76,35,26,-50.0,-0.16666666666666663
23,1970,TOR,76,29,34,1.0,-0.17142857142857137
37,1971,TOR,78,37,33,1.0,0.27586206896551735
54,1972,TOR,78,33,31,1.0,-0.10810810810810811
78,1973,TOR,78,27,41,1.0,-0.18181818181818177
90,1974,TOR,78,35,27,1.0,0.2962962962962963
116,1975,TOR,80,31,33,1.0,-0.11428571428571432
131,1976,TOR,80,34,31,1.0,0.09677419354838701
152,1977,TOR,80,33,32,1.0,-0.02941176470588236
172,1978,TOR,80,41,29,1.0,0.24242424242424243
196,1979,TOR,80,34,33,1.0,-0.1707317073170732
218,1980,TOR,80,35,40,1.0,0.02941176470588225
247,1981,TOR,80,28,37,1.0,-0.19999999999999996
274,1982,TOR,80,20,44,1.0,-0.2857142857142857
294,1983,TOR,80,28,40,1.0,0.3999999999999999
321,1984,TOR,80,26,45,1.0,-0.0714285714285714
348,1985,TOR,80,20,52,1.0,-0.23076923076923073
370,1986,TOR,80,25,48,1.0,0.25
391,1987,TOR,80,32,42,1.0,0.28
419,1988,TOR,80,21,49,1.0,-0.34375
442,1989,TOR,80,28,46,1.0,0.33333333333333326
459,1990,TOR,80,38,38,1.0,0.3571428571428572
514,1992,TOR,80,30,43,2.0,-0.21052631578947367
528,1993,TOR,84,44,29,1.0,0.46666666666666656
552,1994,TOR,84,43,29,1.0,-0.022727272727272707
588,1995,TOR,48,21,19,1.0,-0.5116279069767442
618,1996,TOR,82,34,36,1.0,0.6190476190476191
657,1997,TOR,82,30,44,1.0,-0.11764705882352944
683,1998,TOR,82,30,43,1.0,0.0
6,1999,TOR,82,45,30,1.0,0.5
38,2000,TOR,82,45,27,1.0,0.0
76,2001,TOR,82,37,29,1.0,-0.1777777777777778
98,2002,TOR,82,43,25,1.0,0.16216216216216206
137,2003,TOR,82,44,28,1.0,0.023255813953488413
166,2004,TOR,82,45,24,1.0,0.022727272727272707
214,2006,TOR,82,41,33,2.0,-0.0888888888888889
247,2007,TOR,82,40,31,1.0,-0.024390243902439046
286,2008,TOR,82,36,35,1.0,-0.09999999999999998
319,2009,TOR,82,34,35,1.0,-0.05555555555555558
357,2010,TOR,82,30,38,1.0,-0.11764705882352944
383,2011,TOR,82,37,34,1.0,0.2333333333333334
420,2012,TOR,82,35,37,1.0,-0.05405405405405406
436,2013,TOR,48,26,17,1.0,-0.2571428571428571
483,2014,TOR,82,38,36,1.0,0.46153846153846145
520,2015,TOR,82,30,44,1.0,-0.21052631578947367
556,2016,TOR,82,29,42,1.0,-0.033333333333333326
572,2017,TOR,82,40,27,1.0,0.3793103448275863
599,2018,TOR,82,49,26,1.0,0.2250000000000001
631,2019,TOR,56,35,18,1.0,-0.2857142857142857
43,1971,VAN,78,24,46,-48.0,-0.3142857142857143
62,1972,VAN,78,20,50,1.0,-0.16666666666666663
79,1973,VAN,78,22,47,1.0,0.10000000000000009
98,1974,VAN,78,24,43,1.0,0.09090909090909083
112,1975,VAN,80,38,32,1.0,0.5833333333333333
135,1976,VAN,80,33,32,1.0,-0.13157894736842102
160,1977,VAN,80,25,42,1.0,-0.24242424242424243
180,1978,VAN,80,20,43,1.0,-0.19999999999999996
200,1979,VAN,80,25,42,1.0,0.25
222,1980,VAN,80,27,37,1.0,0.08000000000000007
243,1981,VAN,80,28,32,1.0,0.03703703703703698
266,1982,VAN,80,30,33,1.0,0.0714285714285714
292,1983,VAN,80,30,35,1.0,0.0
316,1984,VAN,80,32,39,1.0,0.06666666666666665
345,1985,VAN,80,25,46,1.0,-0.21875
367,1986,VAN,80,23,44,1.0,-0.07999999999999996
394,1987,VAN,80,29,43,1.0,0.26086956521739135
418,1988,VAN,80,25,46,1.0,-0.13793103448275867
437,1989,VAN,80,33,39,1.0,0.32000000000000006
467,1990,VAN,80,25,41,1.0,-0.24242424242424243
488,1991,VAN,80,28,43,1.0,0.1200000000000001
499,1992,VAN,80,42,26,1.0,0.5
527,1993,VAN,84,46,29,1.0,0.09523809523809534
561,1994,VAN,84,41,40,1.0,-0.10869565217391308
589,1995,VAN,48,18,18,1.0,-0.5609756097560976
620,1996,VAN,82,32,35,1.0,0.7777777777777777
649,1997,VAN,82,35,40,1.0,0.09375
687,1998,VAN,82,25,43,1.0,-0.2857142857142857
27,1999,VAN,82,23,47,1.0,-0.07999999999999996
49,2000,VAN,82,30,29,1.0,0.30434782608695654
77,2001,VAN,82,36,28,1.0,0.19999999999999996
108,2002,VAN,82,42,30,1.0,0.16666666666666674
135,2003,VAN,82,45,23,1.0,0.0714285714285714
168,2004,VAN,82,43,24,1.0,-0.0444444444444444
212,2006,VAN,82,42,32,2.0,-0.023255813953488413
239,2007,VAN,82,49,26,1.0,0.16666666666666674
281,2008,VAN,82,39,33,1.0,-0.20408163265306123
302,2009,VAN,82,45,27,1.0,0.15384615384615374
334,2010,VAN,82,49,28,1.0,0.0888888888888888
362,2011,VAN,82,54,19,1.0,0.1020408163265305
395,2012,VAN,82,51,22,1.0,-0.05555555555555558
435,2013,VAN,48,26,15,1.0,-0.4901960784313726
485,2014,VAN,82,36,35,1.0,0.3846153846153846
501,2015,VAN,82,48,29,1.0,0.33333333333333326
554,2016,VAN,82,31,38,1.0,-0.35416666666666663
588,2017,VAN,82,30,43,1.0,-0.032258064516129004
618,2018,VAN,82,31,40,1.0,0.03333333333333344
646,2019,VAN,58,25,26,1.0,-0.19354838709677424
597,2018,VGK,82,51,24,-1.0,1.04
639,2019,VGK,58,31,23,1.0,-0.3921568627450981
121,1975,WSH,80,8,67,-44.0,-0.7419354838709677
142,1976,WSH,80,11,59,1.0,0.375
161,1977,WSH,80,24,42,1.0,1.1818181818181817
183,1978,WSH,80,17,49,1.0,-0.29166666666666663
201,1979,WSH,80,24,41,1.0,0.41176470588235303
224,1980,WSH,80,27,40,1.0,0.125
248,1981,WSH,80,26,36,1.0,-0.03703703703703709
271,1982,WSH,80,26,41,1.0,0.0
287,1983,WSH,80,39,25,1.0,0.5
308,1984,WSH,80,48,27,1.0,0.23076923076923084
330,1985,WSH,80,46,25,1.0,-0.04166666666666663
354,1986,WSH,80,50,23,1.0,0.08695652173913038
382,1987,WSH,80,38,32,1.0,-0.24
407,1988,WSH,80,38,33,1.0,0.0
426,1989,WSH,80,41,29,1.0,0.07894736842105265
460,1990,WSH,80,36,38,1.0,-0.12195121951219512
480,1991,WSH,80,37,36,1.0,0.02777777777777768
497,1992,WSH,80,45,27,1.0,0.21621621621621623
530,1993,WSH,84,43,34,1.0,-0.0444444444444444
559,1994,WSH,84,39,35,1.0,-0.09302325581395354
585,1995,WSH,48,22,18,1.0,-0.4358974358974359
615,1996,WSH,82,39,32,1.0,0.7727272727272727
652,1997,WSH,82,33,40,1.0,-0.15384615384615385
671,1998,WSH,82,40,30,1.0,0.21212121212121215
24,1999,WSH,82,31,45,1.0,-0.22499999999999998
36,2000,WSH,82,44,24,1.0,0.4193548387096775
72,2001,WSH,82,41,27,1.0,-0.06818181818181823
114,2002,WSH,82,36,33,1.0,-0.12195121951219512
141,2003,WSH,82,39,29,1.0,0.08333333333333326
190,2004,WSH,82,23,46,1.0,-0.41025641025641024
223,2006,WSH,82,29,41,2.0,0.26086956521739135
256,2007,WSH,82,28,40,1.0,-0.03448275862068961
299,2009,WSH,82,50,24,2.0,0.7857142857142858
329,2010,WSH,82,54,15,1.0,0.08000000000000007
363,2011,WSH,82,48,23,1.0,-0.11111111111111116
410,2012,WSH,82,42,32,1.0,-0.125
437,2013,WSH,48,27,18,1.0,-0.3571428571428571
477,2014,WSH,82,38,30,1.0,0.40740740740740744
503,2015,WSH,82,45,26,1.0,0.18421052631578938
527,2016,WSH,82,56,18,1.0,0.24444444444444446
560,2017,WSH,82,55,19,1.0,-0.017857142857142905
598,2018,WSH,82,49,26,1.0,-0.10909090909090913
635,2019,WSH,57,31,19,1.0,-0.36734693877551017
228,1980,WIN,80,20,49,-39.0,-0.3548387096774194
252,1981,WIN,80,9,57,1.0,-0.55
265,1982,WIN,80,33,33,1.0,2.6666666666666665
315,1984,WIN,80,31,38,2.0,-0.06060606060606055
331,1985,WIN,80,43,27,1.0,0.3870967741935485
368,1986,WIN,80,26,47,1.0,-0.39534883720930236
381,1987,WIN,80,40,32,1.0,0.5384615384615385
413,1988,WIN,80,33,36,1.0,-0.17500000000000004
441,1989,WIN,80,26,42,1.0,-0.21212121212121215
454,1990,WIN,80,37,32,1.0,0.42307692307692313
489,1991,WIN,80,26,43,1.0,-0.29729729729729726
508,1992,WIN,80,33,32,1.0,0.26923076923076916
534,1993,WIN,84,40,37,1.0,0.21212121212121215
572,1994,WIN,84,24,51,1.0,-0.4
597,1995,WIN,48,16,25,1.0,-0.33333333333333337
623,1996,WIN,82,36,40,1.0,1.25
416,2012,WIN,82,37,35,16.0,0.02777777777777768
446,2013,WIN,48,24,21,1.0,-0.3513513513513513
482,2014,WIN,82,37,35,1.0,0.5416666666666667
506,2015,WIN,82,43,26,1.0,0.16216216216216206
551,2016,WIN,82,35,39,1.0,-0.18604651162790697
579,2017,WIN,82,40,35,1.0,0.1428571428571428
594,2018,WIN,82,52,20,1.0,0.30000000000000004
629,2019,WIN,57,36,18,1.0,-0.3076923076923077
